Security,Date,AveragePrice,TotalQuantity,MaxBeta
CBOE Equity,2016-1-1,77.67,8969,1.19
CBPX Equity,2016-1-1,24.310000000000002,50594,1.9
CBRL Equity,2016-1-1,164.3,5432,1.09
CBT Equity,2016-1-1,62.38666666666666,45075,1.58
CC Equity,2016-1-1,28.13,6088,1.39
CCC Equity,2016-01-1,17.27,1391,1.53
CCMP Equity,2016-01-01,68.0,522,0.86
CCP Equity,2016-1-1,25.14,474,1.52
CDW Equity,2016-1-1,58.71,1125,1.78
CENT Equity,2016-1-1,34.916666666666664,16422,1.48
CHE Equity,2016-1-1,180.70333333333335,9153,1.67
CHMT Equity,2016-1-1,33.1,149512,1.63
CHS Equity,2016-1-1,14.25,20935,1.35
CI Equity,2016-1-1,145.55,54045,1.35
CINF Equity,2016-1-1,71.06,36212,1.35
CIR Equity,2016-1-1,64.81,8058,1.66
CKH Equity,2016-1-1,73.51,1781,1.42
CLD Equity,2016-1-1,5.859999999999999,25345,1.39
CLH Equity,2016-1-1,54.87,16865,1.25
CLW Equity,2016-1-1,63.330000000000005,68106,1.96
CMC Equity,2016-01-1,22.11,3829,0.82
CMCSA Equity,2016-01-01,75.15,18342,0.65
CMP Equity,2016-1-1,79.95,14168,1.28
CNA Equity,2016-01-01,42.52,676,1.17
CNDT Equity,2016-1-1,14.56,27600,1.07
CNK Equity,2016-1-1,42.03,10614,0.74
CNMD Equity,2016-1-1,43.66,7377,0.94
CNS Equity,2016-01-01,34.81,35700,0.85
CNSL Equity,2016-01-1,25.8,9961,1.5
COH Equity,2016-1-1,39.086666666666666,18130,1.97
COHR Equity,2016-1-1,197.19,5655,0.76
COKE Equity,2016-1-1,177.0,49644,1.33
COL Equity,2016-1-1,91.17,6045,1.14
COLB Equity,2016-1-1,39.25,4179,1.51
COLM Equity,2016-1-1,59.83,7303,1.16
COMM Equity,2016-1-1,38.44,4451,1.91
COP Equity,2016-1-1,50.14,14417,1.31
CORE Equity,2016-1-1,33.14,10084,1.56
CPA Equity,2016-01-01,98.06,2600,0.98
CPLA Equity,2016-1-1,88.37333333333333,7066,1.71
CPRT Equity,2016-1-1,58.17,4203,1.56
CPS Equity,2016-1-1,112.09666666666668,27682,1.61
CR Equity,2016-01-1,73.65,59100,1.09
CRI Equity,2016-1-1,87.17999999999999,13657,1.32
CRUS Equity,2016-1-1,54.19,24851,1.32
CSAL Equity,2016-1-1,26.58,7676,0.84
CSC Equity,2016-1-1,70.82,2828,0.84
CSCO Equity,2016-1-1,31.51,8573,1.01
CSGS Equity,2016-1-1,39.33,21540,1.11
CSRA Equity,2016-1-1,31.02,29444,1.96
CST Equity,2016-1-1,48.22,10572,1.55
CSTE Equity,2016-1-1,34.89666666666667,24748,0.97
CSTM Equity,2016-1-1,7.55,327,1.78
CTAS Equity,2016-1-1,116.72,14409,1.34
CTB Equity,2016-1-1,36.38,21019,1.25
CTL Equity,2016-1-1,24.49,1050,1.46
CUB Equity,2016-1-1,51.5,11723,1.21
CVG Equity,2016-1-1,25.626666666666665,44384,1.08
CVS Equity,2016-1-1,78.53,10522,1.12
CVX Equity,2016-1-1,113.05,7869,0.8
CW Equity,2016-1-1,99.73,25650,1.39
CWT Equity,2016-1-1,34.65,752,1.34
CXW Equity,2016-01-1,30.79,11200,1.77
CZR Equity,2016-1-1,9.083333333333334,9150,1.38
CZZ Equity,2016-1-1,8.76,10243,1.29
DAN Equity,2016-1-1,20.753333333333334,16970,1.3
DBD Equity,2016-1-1,27.4,34345,1.04
DCI Equity,2016-1-1,42.13,732,0.84
DDS Equity,2016-1-1,58.79,68567,1.85
DECK Equity,2016-1-1,52.62,19985,1.31
DENN Equity,2016-1-1,12.51,4085,1.67
DEPO Equity,2016-1-1,16.59,408,1.12
DF Equity,2016-1-1,20.7,31397,1.14
DFS Equity,2016-1-1,68.82,9942,0.91
DG Equity,2016-1-1,80.37333333333333,3757,1.33
DGI Equity,2016-1-1,29.290000000000003,3378,1.77
DHT Equity,2016-1-1,4.92,3281,1.67
DIN Equity,2016-1-1,71.26,2850,1.41
DIOD Equity,2016-1-1,24.42,48174,1.4
DISCA Equity,2016-1-1,28.48,6764,0.73
DKS Equity,2016-1-1,53.580000000000005,22009,1.06
DLB Equity,2016-1-1,48.78,1464,1.54
DLPH Equity,2016-1-1,74.32,513,0.99
DLX Equity,2016-1-1,77.73,17588,1.34
DNB Equity,2016-1-1,100.75,729,1.83
DO Equity,2016-1-1,17.38,48182,0.9
DORM Equity,2016-01-01,69.95,4400,1.26
DOX Equity,2016-1-1,59.9,2959,0.82
DPLO Equity,2016-01-1,15.84,22119,1.35
DPS Equity,2016-1-1,93.56,872,0.74
DRI Equity,2016-1-1,78.82333333333334,10700,1.27
DRQ Equity,2016-01-01,62.65,108,1.01
DST Equity,2016-1-1,116.91,39297,1.09
DSW Equity,2016-1-1,23.09,15750,1.25
DTE Equity,2016-1-1,97.36,33824,1.13
DV Equity,2016-1-1,33.11,9832,1.47
DVMT Equity,2016-01-01,64.73,1041,1.35
DY Equity,2016-1-1,83.09333333333333,53689,1.65
EAT Equity,2016-1-1,46.300000000000004,55609,1.38
EBAY Equity,2016-1-1,33.63,15836,1.44
EBIX Equity,2016-1-1,58.1,1200,1.97
EBS Equity,2016-1-1,29.71,5361,1.44
ECOL Equity,2016-01-01,-1.0,0,-1.0
EE Equity,2016-1-1,46.65,2180,1.4
EGBN Equity,2016-01-01,61.85,5428,1.41
EIG Equity,2016-1-1,37.61666666666667,4222,1.88
ELNK Equity,2016-01-1,6.1,9500,1.45
EME Equity,2016-01-01,69.16,551,0.94
EMR Equity,2016-1-1,63.26,26998,1.23
ENH Equity,2016-1-1,92.73,796,1.25
ENR Equity,2016-1-1,56.54333333333333,33289,1.15
ENS Equity,2016-1-1,77.53,1059,1.94
ENSG Equity,2016-01-01,17.35,1000,1.43
ENTA Equity,2016-01-1,33.52,19241,0.85
ENTG Equity,2016-1-1,20.95,5687,1.19
EPC Equity,2016-1-1,77.75,841,0.94
EQC Equity,2016-1-1,32.696666666666665,14589,1.93
ERIE Equity,2016-1-1,113.3,120735,1.99
ETH Equity,2016-1-1,29.2,6199,1.77
EV Equity,2016-1-1,42.92,3548,0.93
EVR Equity,2016-1-1,78.55,4630,1.16
EXPD Equity,2016-1-1,54.73,16373,1.17
EXPR Equity,2016-1-1,11.526666666666666,53588,1.04
EZPW Equity,2016-01-1,9.55,17637,1.5
FAF Equity,2016-1-1,40.92333333333334,23158,1.9
FCFS Equity,2016-01-01,-1.0,0,-1.0
FCN Equity,2016-01-01,42.41,423,1.3
FCNCA Equity,2016-1-1,358.94,3728,1.9
FDP Equity,2016-1-1,58.94,30537,1.5
FDX Equity,2016-1-1,190.86,2638,0.97
FET Equity,2016-1-1,21.95,166460,1.38
FFG Equity,2016-1-1,69.15,16832,1.63
FFIV Equity,2016-1-1,139.69,10755,0.94
FGL Equity,2016-1-1,26.7,1800,1.34
FI Equity,2016-1-1,12.6,14733,1.17
FIBK Equity,2016-1-1,41.3,6041,1.61
FII Equity,2016-1-1,27.213333333333335,61935,1.93
FINL Equity,2016-1-1,17.94,7782,1.14
FIT Equity,2016-1-1,5.8999999999999995,55808,1.06
FIVN Equity,2016-01-1,16.89,1900,1.95
FIX Equity,2016-1-1,34.05,6345,1.92
FL Equity,2016-1-1,72.17,4352,1.27
FLEX Equity,2016-1-1,16.0,12968,1.45
FLIR Equity,2016-1-1,36.15,21331,1.45
FLO Equity,2016-1-1,20.71,11463,0.89
FOE Equity,2016-1-1,15.024999999999999,5468,1.69
FOSL Equity,2016-1-1,24.406666666666666,49846,1.75
FPRX Equity,2016-1-1,47.77,9062,1.24
FRAN Equity,2016-1-1,18.8,101933,1.05
FRGI Equity,2016-1-1,29.46666666666667,13564,1.86
FSS Equity,2016-1-1,15.27,618,0.64
FTR Equity,2016-1-1,3.31,4132,1.76
FUL Equity,2016-1-1,49.74,357,1.27
FWRD Equity,2016-1-1,49.66,31655,1.79
G Equity,2016-1-1,24.46,1150,1.21
GBL Equity,2016-1-1,30.97,15900,1.81
GBX Equity,2016-1-1,47.330000000000005,13774,0.79
GCI Equity,2016-1-1,9.416666666666666,2419,1.6
GCO Equity,2016-1-1,62.75,10690,0.93
GCP Equity,2016-01-1,27.2,18555,1.7
GDOT Equity,2016-1-1,28.060000000000002,12627,1.79
GEF Equity,2016-1-1,58.07333333333333,14112,1.54
GES Equity,2016-1-1,14.276666666666666,47489,1.3
GGG Equity,2016-1-1,91.01,1347,1.19
GHC Equity,2016-1-1,561.8666666666667,54098,2.0
GHDX Equity,2016-1-1,28.08,306,1.51
GHL Equity,2016-1-1,31.343333333333334,22202,0.86
GIII Equity,2016-1-1,26.59,30205,1.14
GILD Equity,2016-1-1,68.35000000000001,240985,1.43
GK Equity,2016-1-1,95.14,14977,1.94
GLRE Equity,2016-1-1,22.95,5297,1.2
GLT Equity,2016-1-1,23.92,50811,1.83
GME Equity,2016-1-1,26.343333333333334,33554,1.23
GMED Equity,2016-1-1,28.455,4334,1.92
GNC Equity,2016-1-1,8.52,23739,0.88
GNTX Equity,2016-01-1,21.72,27100,1.11
GPC Equity,2016-1-1,99.78,705,1.58
GPI Equity,2016-1-1,83.40666666666667,8933,1.14
GPRE Equity,2016-1-1,24.9,17783,1.88
GPS Equity,2016-1-1,24.36,31272,1.92
GRMN Equity,2016-1-1,49.78,8435,1.36
GT Equity,2016-1-1,33.72,3823,1.82
GTLS Equity,2016-1-1,40.43,34988,1.22
GWW Equity,2016-1-1,266.9633333333333,12785,1.31
GXP Equity,2016-1-1,28.01,9857,1.56
HA Equity,2016-1-1,52.20666666666667,8802,1.62
HAE Equity,2016-1-1,37.63,1005,1.68
HAFC Equity,2016-1-1,35.085,16318,1.2
HAS Equity,2016-1-1,97.63,5628,1.49
HCA Equity,2016-1-1,83.63,122037,1.21
HEES Equity,2016-1-1,24.613333333333333,7502,1.71
HF Equity,2016-01-1,34.02,6400,0.66
HI Equity,2016-01-01,36.85,570,0.94
HIBB Equity,2016-1-1,35.123333333333335,110375,1.79
HIG Equity,2016-1-1,47.86,7437,0.5
HII Equity,2016-01-1,219.385,24214,1.42
HLF Equity,2016-1-1,59.99,1611,1.47
HLS Equity,2016-1-1,41.04333333333333,3630,1.09
HMN Equity,2016-1-1,42.25,496,1.39
HNI Equity,2016-1-1,47.669999999999995,5183,1.47
HOLI Equity,2016-1-1,17.83,2829,1.79
HOPE Equity,2016-01-01,21.04,494,1.15
HPE Equity,2016-1-1,23.99,644,1.41
HPQ Equity,2016-01-1,17.29,12018,0.86
HRB Equity,2016-1-1,21.823333333333334,48490,1.57
HRC Equity,2016-1-1,62.32999999999999,13795,1.52
HRS Equity,2016-1-1,105.74,921,1.69
HSC Equity,2016-1-1,14.2,70925,1.27
HSNI Equity,2016-1-1,38.373333333333335,232714,1.09
HT Equity,2016-01-1,21.03,1000,0.81
HTH Equity,2016-1-1,27.4,62229,1.3
HTLD Equity,2016-01-1,21.25,15338,1.14
HUBB Equity,2016-1-1,122.85,80532,1.52
HUBG Equity,2016-1-1,53.120000000000005,141970,1.75
HURN Equity,2016-1-1,46.45000000000001,38176,1.65
HY Equity,2016-1-1,62.04,80568,1.07
HYH Equity,2016-1-1,40.14,11687,1.23
IBM Equity,2016-1-1,178.68,21805,1.1
ICFI Equity,2016-1-1,51.07333333333333,5911,1.26
IDCC Equity,2016-1-1,101.64,6099,1.57
IGT Equity,2016-01-1,27.77,10803,1.7
IIIN Equity,2016-1-1,39.96333333333333,26356,1.35
IIVI Equity,2016-01-01,39.65,180,0.56
IMKTA Equity,2016-01-01,-1.0,0,-1.0
INGR Equity,2016-1-1,120.79,70867,0.75
INN Equity,2016-01-1,18.09,5466,1.69
INOV Equity,2016-01-1,12.25,1100,1.07
INSY Equity,2016-1-1,9.65,3152,1.86
INTC Equity,2016-1-1,35.34,1472,1.34
IOSP Equity,2016-01-01,-1.0,0,-1.0
IP Equity,2016-1-1,52.89,8321,1.07
IPHI Equity,2016-1-1,47.75,2157,1.46
IPHS Equity,2016-1-1,49.61000000000001,5065,1.99
IQNT Equity,2016-1-1,23.433333333333334,45436,1.51
IRBT Equity,2016-01-01,-1.0,0,-1.0
ISLE Equity,2016-1-1,24.38,38619,1.64
ITG Equity,2016-1-1,20.716666666666665,120464,1.62
ITRI Equity,2016-1-1,68.21333333333334,23372,1.73
ITT Equity,2016-1-1,41.06,2060,1.26
JACK Equity,2016-1-1,111.92,354,1.81
JBL Equity,2016-1-1,25.44,725,1.29
JBSS Equity,2016-1-1,65.88000000000001,8438,1.3
JBT Equity,2016-1-1,87.8,6385,1.93
JCP Equity,2016-1-1,7.14,18264,1.65
JEC Equity,2016-1-1,57.4,3530,1.32
JJSF Equity,2016-1-1,130.72,1946,1.38
JKHY Equity,2016-1-1,90.6,396,0.53
JNS Equity,2016-1-1,12.603333333333332,4354,1.58
JOE Equity,2016-1-1,17.25,14073,0.54
JOY Equity,2016-1-1,28.14,54815,1.42
JW/A Equity,2016-01-1,56.61,3487,1.14
JWN Equity,2016-1-1,46.35,7740,1.42
K Equity,2016-1-1,76.0,3698,1.1
KALU Equity,2016-1-1,84.87333333333333,4834,1.56
KAMN Equity,2016-1-1,52.00333333333333,12475,1.37
KATE Equity,2016-01-1,19.09,111144,1.35
KCG Equity,2016-01-1,15.24,165722,1.71
KEYS Equity,2016-1-1,37.63,36546,1.39
KFRC Equity,2016-1-1,24.35,10200,1.92
KLIC Equity,2016-1-1,20.493333333333336,155676,1.81
KMB Equity,2016-1-1,123.55,8948,1.75
KMPR Equity,2016-1-1,44.8,5910,1.73
KMT Equity,2016-1-1,38.09,600,0.77
KND Equity,2016-1-1,6.8,8994,1.49
KNL Equity,2016-1-1,27.42,11490,1.42
KNX Equity,2016-01-01,-1.0,0,-1.0
KOP Equity,2016-01-1,46.17,20371,1.07
KORS Equity,2016-1-1,40.68333333333334,19121,1.69
KOS Equity,2016-1-1,6.29,2961,1.69
KR Equity,2016-1-1,33.48,16050,0.72
KSS Equity,2016-1-1,42.599999999999994,7368,1.86
KWR Equity,2016-01-01,132.67,776,0.86
LABL Equity,2016-01-01,75.7,6643,1.19
LB Equity,2016-01-01,-1.0,0,-1.0
LCI Equity,2016-1-1,21.3,198,1.83
LCII Equity,2016-1-1,113.40666666666668,79950,1.57
LDL Equity,2016-1-1,59.7,1020,0.98
LDOS Equity,2016-1-1,50.84,36978,1.37
LEA Equity,2016-01-1,141.35,11937,1.2
LECO Equity,2016-1-1,83.34,7556,1.96
LGF/A Equity,2016-01-1,33.94,54729,0.91
LGF/B Equity,2016-01-01,26.64,203,1.41
LHCG Equity,2016-1-1,48.73333333333334,51761,1.64
LNN Equity,2016-1-1,76.27,15098,1.32
LOCK Equity,2016-01-1,27.59,15000,1.2
LOPE Equity,2016-01-1,57.67,61719,1.0
LOW Equity,2016-1-1,73.97,4357,1.13
LPLA Equity,2016-1-1,40.75,7289,1.18
LPNT Equity,2016-1-1,61.25,16323,1.47
LSTR Equity,2016-1-1,86.95,5230,1.37
LUV Equity,2016-01-01,-1.0,0,-1.0
LYB Equity,2016-1-1,91.86,9027,1.98
LZB Equity,2016-1-1,31.396666666666665,2105,1.68
M Equity,2016-1-1,31.99,57799,1.31
MAN Equity,2016-1-1,96.46999999999998,13319,1.34
MANT Equity,2016-1-1,38.87,22449,1.1
MASI Equity,2016-1-1,76.64,14934,1.23
MATX Equity,2016-01-1,36.5,13658,1.92
MDP Equity,2016-1-1,66.24,3498,1.61
MDR Equity,2016-01-01,-1.0,0,-1.0
MEET Equity,2016-01-01,-1.0,0,-1.0
MEI Equity,2016-01-1,41.8,7200,0.98
MENT Equity,2016-1-1,36.87,4329,1.13
MFS Equity,2016-01-1,19.83,17400,1.83
MGEE Equity,2016-1-1,63.5,21786,1.78
MGLN Equity,2016-1-1,77.41666666666667,2992,1.79
MHLD Equity,2016-1-1,18.6,5186,0.99
MIK Equity,2016-1-1,20.856666666666666,136427,1.88
MKSI Equity,2016-1-1,66.95,2600,0.98
MLHR Equity,2016-1-1,32.71,3873,1.86
MLI Equity,2016-1-1,43.17,104641,1.45
MO Equity,2016-1-1,72.42,38604,1.88
MOG/A Equity,2016-01-01,-1.0,0,-1.0
MOH Equity,2016-1-1,59.85999999999999,81075,1.09
MORN Equity,2016-1-1,77.67,666,1.43
MOV Equity,2016-1-1,27.156666666666666,44518,0.66
MPAA Equity,2016-01-01,-1.0,0,-1.0
MPC Equity,2016-1-1,50.14,127178,0.89
MSA Equity,2016-1-1,68.94,102259,1.39
MSFT Equity,2016-1-1,64.0,1200,1.76
MSGN Equity,2016-1-1,22.0,33746,1.64
MSM Equity,2016-1-1,104.45,12626,1.35
MSTR Equity,2016-1-1,189.35,139482,1.89
MTOR Equity,2016-1-1,16.64,16230,1.99
MTRN Equity,2016-1-1,39.11000000000001,15915,1.99
MTSC Equity,2016-1-1,55.0,20511,1.0
MTW Equity,2016-01-1,6.89,14524,1.18
MUSA Equity,2016-1-1,66.13,15373,1.73
MWA Equity,2016-1-1,12.85,1947,1.9
MXL Equity,2016-01-01,-1.0,0,-1.0
MYGN Equity,2016-1-1,16.31,150665,1.23
MYRG Equity,2016-1-1,40.37666666666667,148186,1.72
NAT Equity,2016-01-1,8.45,2104,1.48
